period,number,category,colour,timestamp,patternUsed
20260612100010564,2,SMALL,RED,1781801476,daily_1k_history
20260612100010565,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010566,9,BIG,GREEN,1781801476,daily_1k_history
20260612100010567,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010568,7,BIG,GREEN,1781801476,daily_1k_history
20260612100010569,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010570,9,BIG,GREEN,1781801476,daily_1k_history
20260612100010571,2,SMALL,RED,1781801476,daily_1k_history
20260612100010572,8,BIG,RED,1781801476,daily_1k_history
20260612100010573,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010574,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010575,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010576,6,BIG,RED,1781801476,daily_1k_history
20260612100010577,4,SMALL,RED,1781801476,daily_1k_history
20260612100010578,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010579,4,SMALL,RED,1781801476,daily_1k_history
20260612100010580,7,BIG,GREEN,1781801476,daily_1k_history
20260612100010581,2,SMALL,RED,1781801476,daily_1k_history
20260612100010582,7,BIG,GREEN,1781801476,daily_1k_history
20260612100010583,9,BIG,GREEN,1781801476,daily_1k_history
20260612100010584,8,BIG,RED,1781801476,daily_1k_history
20260612100010585,6,BIG,RED,1781801476,daily_1k_history
20260612100010586,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010587,7,BIG,GREEN,1781801476,daily_1k_history
20260612100010588,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010589,4,SMALL,RED,1781801476,daily_1k_history
20260612100010590,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010591,4,SMALL,RED,1781801476,daily_1k_history
20260612100010592,4,SMALL,RED,1781801476,daily_1k_history
20260612100010593,8,BIG,RED,1781801476,daily_1k_history
20260612100010594,4,SMALL,RED,1781801476,daily_1k_history
20260612100010595,8,BIG,RED,1781801476,daily_1k_history
20260612100010596,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010597,6,BIG,RED,1781801476,daily_1k_history
20260612100010598,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010599,4,SMALL,RED,1781801476,daily_1k_history
20260612100010600,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010601,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010602,2,SMALL,RED,1781801476,daily_1k_history
20260612100010603,4,SMALL,RED,1781801476,daily_1k_history
20260612100010604,9,BIG,GREEN,1781801476,daily_1k_history
20260612100010605,9,BIG,GREEN,1781801476,daily_1k_history
20260612100010606,9,BIG,GREEN,1781801476,daily_1k_history
20260612100010607,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010608,2,SMALL,RED,1781801476,daily_1k_history
20260612100010609,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010610,6,BIG,RED,1781801476,daily_1k_history
20260612100010611,2,SMALL,RED,1781801476,daily_1k_history
20260612100010612,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010613,7,BIG,GREEN,1781801476,daily_1k_history
20260612100010614,4,SMALL,RED,1781801476,daily_1k_history
20260612100010615,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010616,2,SMALL,RED,1781801476,daily_1k_history
20260612100010617,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010618,6,BIG,RED,1781801476,daily_1k_history
20260612100010619,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010620,7,BIG,GREEN,1781801476,daily_1k_history
20260612100010621,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010622,6,BIG,RED,1781801476,daily_1k_history
20260612100010623,9,BIG,GREEN,1781801476,daily_1k_history
20260612100010624,7,BIG,GREEN,1781801476,daily_1k_history
20260612100010625,4,SMALL,RED,1781801476,daily_1k_history
20260612100010626,2,SMALL,RED,1781801476,daily_1k_history
20260612100010627,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010628,7,BIG,GREEN,1781801476,daily_1k_history
20260612100010629,8,BIG,RED,1781801476,daily_1k_history
20260612100010630,2,SMALL,RED,1781801476,daily_1k_history
20260612100010631,6,BIG,RED,1781801476,daily_1k_history
20260612100010632,2,SMALL,RED,1781801476,daily_1k_history
20260612100010633,8,BIG,RED,1781801476,daily_1k_history
20260612100010634,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010635,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010636,9,BIG,GREEN,1781801476,daily_1k_history
20260612100010637,2,SMALL,RED,1781801476,daily_1k_history
20260612100010638,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010639,7,BIG,GREEN,1781801476,daily_1k_history
20260612100010640,8,BIG,RED,1781801476,daily_1k_history
20260612100010641,7,BIG,GREEN,1781801476,daily_1k_history
20260612100010642,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010643,9,BIG,GREEN,1781801476,daily_1k_history
20260612100010644,8,BIG,RED,1781801476,daily_1k_history
20260612100010645,4,SMALL,RED,1781801476,daily_1k_history
20260612100010646,2,SMALL,RED,1781801476,daily_1k_history
20260612100010647,2,SMALL,RED,1781801476,daily_1k_history
20260612100010648,2,SMALL,RED,1781801476,daily_1k_history
20260612100010649,9,BIG,GREEN,1781801476,daily_1k_history
20260612100010650,2,SMALL,RED,1781801476,daily_1k_history
20260612100010651,6,BIG,RED,1781801476,daily_1k_history
20260612100010652,8,BIG,RED,1781801476,daily_1k_history
20260612100010653,7,BIG,GREEN,1781801476,daily_1k_history
20260612100010654,4,SMALL,RED,1781801476,daily_1k_history
20260612100010655,9,BIG,GREEN,1781801476,daily_1k_history
20260612100010656,9,BIG,GREEN,1781801476,daily_1k_history
20260612100010657,8,BIG,RED,1781801476,daily_1k_history
20260612100010658,7,BIG,GREEN,1781801476,daily_1k_history
20260612100010659,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010660,4,SMALL,RED,1781801476,daily_1k_history
20260612100010661,4,SMALL,RED,1781801476,daily_1k_history
20260612100010662,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010663,4,SMALL,RED,1781801476,daily_1k_history
20260612100010664,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010665,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010666,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010667,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010668,8,BIG,RED,1781801476,daily_1k_history
20260612100010669,4,SMALL,RED,1781801476,daily_1k_history
20260612100010670,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010671,8,BIG,RED,1781801476,daily_1k_history
20260612100010672,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010673,4,SMALL,RED,1781801476,daily_1k_history
20260612100010674,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010675,2,SMALL,RED,1781801476,daily_1k_history
20260612100010676,8,BIG,RED,1781801476,daily_1k_history
20260612100010677,8,BIG,RED,1781801476,daily_1k_history
20260612100010678,9,BIG,GREEN,1781801476,daily_1k_history
20260612100010679,2,SMALL,RED,1781801476,daily_1k_history
20260612100010680,2,SMALL,RED,1781801476,daily_1k_history
20260612100010681,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010682,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010683,2,SMALL,RED,1781801476,daily_1k_history
20260612100010684,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010685,6,BIG,RED,1781801476,daily_1k_history
20260612100010686,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010687,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010688,8,BIG,RED,1781801476,daily_1k_history
20260612100010689,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010690,8,BIG,RED,1781801476,daily_1k_history
20260612100010691,7,BIG,GREEN,1781801476,daily_1k_history
20260612100010692,2,SMALL,RED,1781801476,daily_1k_history
20260612100010693,7,BIG,GREEN,1781801476,daily_1k_history
20260612100010694,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010695,6,BIG,RED,1781801476,daily_1k_history
20260612100010696,8,BIG,RED,1781801476,daily_1k_history
20260612100010697,6,BIG,RED,1781801476,daily_1k_history
20260612100010698,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010699,7,BIG,GREEN,1781801476,daily_1k_history
20260612100010700,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010701,7,BIG,GREEN,1781801476,daily_1k_history
20260612100010702,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010703,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010704,7,BIG,GREEN,1781801476,daily_1k_history
20260612100010705,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010706,2,SMALL,RED,1781801476,daily_1k_history
20260612100010707,2,SMALL,RED,1781801476,daily_1k_history
