timestamp,date,totalWins,totalLosses,winRate,accuracy,recentAccuracy,totalPredictions,streak,consecutiveLosses,consecutiveWins
1781690441,2026-06-17 10:00:46,100,0,100.0,0,0,0,100 WIN,0,0
1781690464,2026-06-17 10:01:04,101,0,100.0,100.0,100.0,1,101 WIN,0,1
1781690465,2026-06-17 10:01:14,101,0,100.0,100.0,100.0,1,101 WIN,0,1
1781690524,2026-06-17 10:02:04,102,0,100.0,100.0,100.0,2,102 WIN,0,2
1781690532,2026-06-17 10:02:17,102,0,100.0,100.0,100.0,2,102 WIN,0,2
1781690580,2026-06-17 10:03:00,102,0,100.0,100.0,100.0,2,102 WIN,0,2
1781690583,2026-06-17 10:03:03,102,0,100.0,100.0,100.0,2,102 WIN,0,2
1781690583,2026-06-17 10:03:06,102,0,100.0,100.0,100.0,2,102 WIN,0,2
1781690591,2026-06-17 10:03:11,102,1,99.03,66.67,66.67,3,1 LOSS,1,0
1781690641,2026-06-17 10:04:01,102,1,99.03,66.67,66.67,3,1 LOSS,1,0
1781690641,2026-06-17 10:04:10,102,1,99.03,66.67,66.67,3,1 LOSS,1,0
1781690657,2026-06-17 10:04:17,102,2,98.08,50.0,50.0,4,2 LOSS,2,0
1781690702,2026-06-17 10:05:02,102,3,97.14,40.0,40.0,5,3 LOSS,3,0
1781690702,2026-06-17 10:05:06,102,3,97.14,40.0,40.0,5,3 LOSS,3,0
1781690762,2026-06-17 10:06:02,102,4,96.23,33.33,33.33,6,4 LOSS,4,0
1781690762,2026-06-17 10:06:08,102,4,96.23,33.33,33.33,6,4 LOSS,4,0
1781690823,2026-06-17 10:07:03,102,4,96.23,33.33,33.33,6,4 LOSS,4,0
1781690823,2026-06-17 10:07:11,102,4,96.23,33.33,33.33,6,4 LOSS,4,0
1781690838,2026-06-17 10:07:18,103,4,96.26,42.86,42.86,7,1 WIN,0,1
1781690880,2026-06-17 10:08:00,104,4,96.3,50.0,50.0,8,2 WIN,0,2
1781690883,2026-06-17 10:08:09,104,4,96.3,50.0,50.0,8,2 WIN,0,2
1781690944,2026-06-17 10:09:04,104,5,95.41,44.44,44.44,9,1 LOSS,1,0
1781690944,2026-06-17 10:09:08,104,5,95.41,44.44,44.44,9,1 LOSS,1,0
1781691003,2026-06-17 10:10:03,104,5,95.41,44.44,44.44,9,1 LOSS,1,0
1781691003,2026-06-17 10:10:06,104,5,95.41,44.44,44.44,9,1 LOSS,1,0
1781691012,2026-06-17 10:10:12,104,6,94.55,40.0,40.0,10,2 LOSS,2,0
1781691063,2026-06-17 10:11:03,105,6,94.59,45.45,45.45,11,1 WIN,0,1
1781691063,2026-06-17 10:11:12,105,6,94.59,45.45,45.45,11,1 WIN,0,1
1781691124,2026-06-17 10:12:04,106,6,94.64,50.0,50.0,12,2 WIN,0,2
1781691133,2026-06-17 10:12:18,106,6,94.64,50.0,50.0,12,2 WIN,0,2
1781691181,2026-06-17 10:13:01,106,6,94.64,50.0,50.0,12,2 WIN,0,2
1781691181,2026-06-17 10:13:07,106,6,94.64,50.0,50.0,12,2 WIN,0,2
1781691194,2026-06-17 10:13:14,107,6,94.69,53.85,53.85,13,3 WIN,0,3
1781691242,2026-06-17 10:14:02,107,7,93.86,50.0,50.0,14,1 LOSS,1,0
1781691242,2026-06-17 10:14:12,107,7,93.86,50.0,50.0,14,1 LOSS,1,0
1781691302,2026-06-17 10:15:02,108,7,93.91,53.33,53.33,15,1 WIN,0,1
1781691305,2026-06-17 10:15:08,108,7,93.91,53.33,53.33,15,1 WIN,0,1
1781691364,2026-06-17 10:16:04,109,7,93.97,56.25,56.25,16,2 WIN,0,2
1781691364,2026-06-17 10:16:07,109,7,93.97,56.25,56.25,16,2 WIN,0,2
1781691420,2026-06-17 10:17:00,109,7,93.97,56.25,56.25,16,2 WIN,0,2
1781691424,2026-06-17 10:17:04,109,7,93.97,56.25,56.25,16,2 WIN,0,2
1781691424,2026-06-17 10:17:13,109,7,93.97,56.25,56.25,16,2 WIN,0,2
1781691441,2026-06-17 10:17:21,109,8,93.16,52.94,52.94,17,1 LOSS,1,0
1781691482,2026-06-17 10:18:02,110,8,93.22,55.56,55.56,18,1 WIN,0,1
1781691485,2026-06-17 10:18:09,110,8,93.22,55.56,55.56,18,1 WIN,0,1
1781691543,2026-06-17 10:19:03,111,8,93.28,57.89,57.89,19,2 WIN,0,2
1781691543,2026-06-17 10:19:12,111,8,93.28,57.89,57.89,19,2 WIN,0,2
1781691604,2026-06-17 10:20:04,112,8,93.33,60.0,60.0,20,3 WIN,0,3
1781691604,2026-06-17 10:20:07,112,8,93.33,60.0,60.0,20,3 WIN,0,3
1781691663,2026-06-17 10:21:03,112,9,92.56,57.14,55.0,21,1 LOSS,1,0
1781691666,2026-06-17 10:21:09,112,9,92.56,57.14,55.0,21,1 LOSS,1,0
1781691722,2026-06-17 10:22:02,112,10,91.8,54.55,50.0,22,2 LOSS,2,0
1781691722,2026-06-17 10:22:06,112,10,91.8,54.55,50.0,22,2 LOSS,2,0
1781691781,2026-06-17 10:23:01,112,11,91.06,52.17,50.0,23,3 LOSS,3,0
1781691784,2026-06-17 10:23:10,112,11,91.06,52.17,50.0,23,3 LOSS,3,0
1781691840,2026-06-17 10:24:00,113,11,91.13,54.17,55.0,24,1 WIN,0,1
1781691843,2026-06-17 10:24:07,113,11,91.13,54.17,55.0,24,1 WIN,0,1
1781691903,2026-06-17 10:25:03,114,11,91.2,56.0,60.0,25,2 WIN,0,2
1781691906,2026-06-17 10:25:09,114,11,91.2,56.0,60.0,25,2 WIN,0,2
1781691960,2026-06-17 10:26:00,115,11,91.27,57.69,65.0,26,3 WIN,0,3
1781691966,2026-06-17 10:26:15,115,11,91.27,57.69,65.0,26,3 WIN,0,3
1781692020,2026-06-17 10:27:00,115,11,91.27,57.69,65.0,26,3 WIN,0,3
1781692026,2026-06-17 10:27:06,115,11,91.27,57.69,65.0,26,3 WIN,0,3
1781692026,2026-06-17 10:27:10,115,11,91.27,57.69,65.0,26,3 WIN,0,3
1781692039,2026-06-17 10:27:19,116,11,91.34,59.26,65.0,27,4 WIN,0,4
1781692082,2026-06-17 10:28:02,117,11,91.41,60.71,65.0,28,5 WIN,0,5
1781692089,2026-06-17 10:28:15,117,11,91.41,60.71,65.0,28,5 WIN,0,5
1781692142,2026-06-17 10:29:02,118,11,91.47,62.07,70.0,29,6 WIN,0,6
1781692145,2026-06-17 10:29:08,118,11,91.47,62.07,70.0,29,6 WIN,0,6
1781692200,2026-06-17 10:30:00,118,12,90.77,60.0,70.0,30,1 LOSS,1,0
1781692207,2026-06-17 10:30:13,118,12,90.77,60.0,70.0,30,1 LOSS,1,0
1781692265,2026-06-17 10:31:05,118,13,90.08,58.06,65.0,31,2 LOSS,2,0
1781692268,2026-06-17 10:31:13,118,13,90.08,58.06,65.0,31,2 LOSS,2,0
1781692322,2026-06-17 10:32:02,118,14,89.39,56.25,60.0,32,3 LOSS,3,0
1781692342,2026-06-17 10:32:28,118,14,89.39,56.25,60.0,32,3 LOSS,3,0
1781692380,2026-06-17 10:33:00,118,14,89.39,56.25,60.0,32,3 LOSS,3,0
1781692384,2026-06-17 10:33:04,118,14,89.39,56.25,60.0,32,3 LOSS,3,0
1781692384,2026-06-17 10:33:07,118,14,89.39,56.25,60.0,32,3 LOSS,3,0
1781692390,2026-06-17 10:33:10,118,14,89.39,56.25,60.0,32,3 LOSS,3,0
1781692394,2026-06-17 10:33:14,118,14,89.39,56.25,60.0,32,3 LOSS,3,0
